com.samsung.shealth.tracker.pedometer_step_count,6320001,2
duration,version_code,run_step,walk_step,com.samsung.health.step_count.start_time,com.samsung.health.step_count.sample_position_type,com.samsung.health.step_count.custom,com.samsung.health.step_count.update_time,com.samsung.health.step_count.create_time,com.samsung.health.step_count.count,com.samsung.health.step_count.speed,com.samsung.health.step_count.distance,com.samsung.health.step_count.calorie,com.samsung.health.step_count.time_offset,com.samsung.health.step_count.deviceuuid,com.samsung.health.step_count.pkg_name,com.samsung.health.step_count.end_time,com.samsung.health.step_count.datauuid
6000,3,0,10,2026-04-02 15:22:00.000,,,2026-04-02 15:23:00.000,2026-04-02 15:23:00.000,10,0.48375,8.0625,0.3647461,UTC+0900,0jLgvwEaJp,com.sec.android.app.shealth,2026-04-02 15:23:00.000,000e36b6-0898-65c2-39cd-93e3c3155f5c,
7000,3,0,11,2026-04-02 15:41:00.000,,,2026-04-02 15:42:00.000,2026-04-02 15:42:00.000,11,0.49125,8.1875,0.3955078,UTC+0900,0jLgvwEaJp,com.sec.android.app.shealth,2026-04-02 15:42:00.000,45cae1d1-5f69-0d08-835d-fae566b1abb5,
9000,3,0,14,2026-04-02 15:48:00.000,,,2026-04-02 15:49:00.000,2026-04-02 15:49:00.000,14,0.6871875,11.453125,0.4555664,UTC+0900,0jLgvwEaJp,com.sec.android.app.shealth,2026-04-02 15:49:00.000,f422c00f-66fd-73dd-ce0a-8b928fa70856,
25062,4,0,51,2026-04-02 23:19:00.000,,,2026-04-02 23:19:59.981,2026-04-02 23:19:58.787,51,1.6227212,40.67,1.55,UTC+0900,8qXnFSaMlF,com.sec.android.app.shealth,2026-04-02 23:20:00.000,da7ad35e-ad61-469a-9926-1d896d56a754,
58092,4,0,117,2026-04-02 23:20:00.000,,,2026-04-02 23:21:34.752,2026-04-02 23:21:34.752,117,1.5833334,91.98,3.52,UTC+0900,8qXnFSaMlF,com.sec.android.app.shealth,2026-04-02 23:21:00.000,fdb9f980-9359-4777-8897-d9604d118ec1,
52935,4,0,110,2026-04-02 23:21:00.000,,,2026-04-02 23:21:59.689,2026-04-02 23:21:34.761,110,1.642762,86.960045,3.2999988,UTC+0900,8qXnFSaMlF,com.sec.android.app.shealth,2026-04-02 23:22:00.000,1efdea31-077e-40b1-bfba-891acdbac762,
56147,4,0,116,2026-04-02 23:22:00.000,,,2026-04-02 23:22:59.856,2026-04-02 23:22:00.196,116,1.63194,91.63008,3.4799972,UTC+0900,8qXnFSaMlF,com.sec.android.app.shealth,2026-04-02 23:23:00.000,3a6955cb-efa9-4177-a83f-2a3475b453fd,
53844,4,0,109,2026-04-02 23:23:00.000,,,2026-04-02 23:23:59.972,2026-04-02 23:23:00.402,109,1.5934706,85.80003,3.2699974,UTC+0900,8qXnFSaMlF,com.sec.android.app.shealth,2026-04-02 23:24:00.000,95983fdf-9770-4881-92aa-c9bbf1a2721f,
6000,3,0,10,2026-04-02 19:55:00.000,,,2026-04-02 19:56:00.000,2026-04-02 19:56:00.000,10,0.478125,7.96875,0.44433594,UTC+0900,0jLgvwEaJp,com.sec.android.app.shealth,2026-04-02 19:56:00.000,51f73cf2-c3d9-c7e9-3a78-54131443b8dc,
6000,3,0,10,2026-04-02 20:18:00.000,,,2026-04-02 20:19:00.000,2026-04-02 20:19:00.000,10,0.465,7.75,0.3984375,UTC+0900,0jLgvwEaJp,com.sec.android.app.shealth,2026-04-02 20:19:00.000,3a03a775-0b48-8bcf-0622-32bd6da44aa8,
46000,3,0,70,2026-04-02 20:47:00.000,,,2026-04-02 20:48:00.000,2026-04-02 20:48:00.000,70,3.28125,54.6875,2.6333008,UTC+0900,0jLgvwEaJp,com.sec.android.app.shealth,2026-04-02 20:48:00.000,f3db59b2-6045-f3af-43ad-00025276248f,
24000,3,0,36,2026-04-02 21:07:00.000,,,2026-04-02 21:08:00.000,2026-04-02 21:08:00.000,36,1.6021875,26.703125,1.2749023,UTC+0900,0jLgvwEaJp,com.sec.android.app.shealth,2026-04-02 21:08:00.000,b4e736db-e912-7f18-8b5c-72c4fe0d1dca,
6000,3,0,10,2026-04-02 21:59:00.000,,,2026-04-02 22:00:00.000,2026-04-02 22:00:00.000,10,0.4134375,6.890625,0.42626953,UTC+0900,0jLgvwEaJp,com.sec.android.app.shealth,2026-04-02 22:00:00.000,b71cf7a0-668b-5353-7f2b-4da21771548c,
7000,3,0,11,2026-04-02 22:00:00.000,,,2026-04-02 22:01:00.000,2026-04-02 22:01:00.000,11,0.5146875,8.578125,0.32177734,UTC+0900,0jLgvwEaJp,com.sec.android.app.shealth,2026-04-02 22:01:00.000,8f47e27a-7c52-fae4-f992-c0315645f2d5,
